"char","grid"
"a","0100|1010|1110|1010"
"b","1000|1000|1100|1100"
"c","1100|1000|1000|1100"
"d","0100|0100|1100|1100"
"e","1111|1100|1000|1111"
"f","1100|1000|1100|1000"
"g","1110|1110|0010|0110"
"h","1001|1111|1001|1001"
"i","1110|0100|0100|1110"
"j","0100|0100|0100|1100"
"k","1010|1100|1010|1010"
"l","1000|1000|1000|1100"
"m","1010|1110|1010|1010"
"n","1001|1101|1011|1001"
"o","0110|1001|1001|0110"
"p","1100|1100|1000|1000"
"q","1100|1100|0100|0100"
"r","1110|1110|1100|1010"
"s","0100|1010|1110|1010"
"t","1110|0100|0100|0100"
"u","1010|1010|1010|1110"
"v","1010|1010|1010|0100"
"w","1010|1010|1110|1010"
"x","0000|1010|0100|1010"
"y","1010|1110|0010|0110"
"z","1111|0010|0100|1111"
"1","1100|0100|0100|1110"
"2","1100|0100|1000|1100"
"3","1110|0110|0010|1110"
"4","1010|1110|0010|0010"
"5","1100|1000|0100|1100"
"6","1100|1000|1100|1100"
"7","1100|0100|0100|1010"
"8","1110|1110|1010|1110"
"9","1100|1100|0100|0100"
"0","0100|1010|1010|0100"
"(","0100|1000|1000|0100"
")","1000|0100|0100|1000"
"[","1100|1000|1000|1100"
"]","1100|0100|0100|1100"
"!","1000|1000|0000|1000"
".","0000|0000|0000|0100"
",","0000|0000|0100|1100"
" ","0000|0000|0000|0000"
"'","0100|0000|0000|0000"
"""","1010|0000|0000|0000"
"\","1000|0100|0100|0010"
"/","0010|0100|0100|1000"
"_","0000|0000|0000|1110"
"-","0000|1110|0000|0000"
"=","1110|0000|1110|0000"
"+","0100|1110|0100|0000"
":","1000|0000|1000|0000"
";","1000|0000|1000|1000"
"^","0100|1010|0000|0000"
